# thickness of plexi in mm; position of max
1.000000000000000000;26.949999999999999289
2.000000000000000000;25.750000000000000000
3.000000000000000000;24.649999999999998579
4.000000000000000000;23.450000000000002842
5.000000000000000000;22.250000000000000000
6.000000000000000000;21.150000000000002132
7.000000000000000000;19.950000000000002842
8.000000000000000000;18.850000000000001421
9.000000000000000000;17.649999999999998579
10.000000000000000000;16.449999999999999289
11.000000000000000000;15.349999999999999645
12.000000000000000000;14.150000000000000355
13.000000000000000000;12.949999999999999289
14.000000000000000000;11.850000000000001421
15.000000000000000000;10.750000000000000000
16.000000000000000000;9.549999999999998934
17.000000000000000000;8.349999999999999645
18.000000000000000000;7.250000000000000000
19.000000000000000000;6.049999999999999822
20.000000000000000000;4.950000000000000178
21.000000000000000000;3.750000000000000000
22.000000000000000000;2.549999999999999822
23.000000000000000000;1.449999999999999956
24.000000000000000000;0.050000000000000003
