# thickness of plexi in mm; range
1.000000000000000000;27.255765515559588152
2.000000000000000000;26.081549166268811035
3.000000000000000000;24.926477017551899706
4.000000000000000000;23.772055530875167761
5.000000000000000000;22.600897040130742965
6.000000000000000000;21.437323425490838247
7.000000000000000000;20.279418620980198540
8.000000000000000000;19.116035624571818374
9.000000000000000000;17.948460354118552118
10.000000000000000000;16.798641188959660298
11.000000000000000000;15.622844760672702336
12.000000000000000000;14.456379044684130264
13.000000000000000000;13.293283284816913792
14.000000000000000000;12.141469786260884689
15.000000000000000000;10.976741839151477720
16.000000000000000000;9.805736953754772500
17.000000000000000000;8.652169802401436627
18.000000000000000000;7.503927863163113443
19.000000000000000000;6.350731371458274488
20.000000000000000000;5.156169480675362848
21.000000000000000000;3.985964912280702155
22.000000000000000000;2.852615388380402184
23.000000000000000000;1.681379269071177962
24.000000000000000000;0.435748684271808129
